Location,LocationID,FilterCategory,DataGroup,TimeFrame,DataFormat,Data,Unit
North Carolina,37000,Total,Investigated,2018,"Rate per 1,000",49.5,"per 1,000 children"
North Carolina,37000,Total,Substantiated,2018,"Rate per 1,000",8.5,"per 1,000 children"
North Carolina,37000,Total,Investigated,2019,"Rate per 1,000",47.8,"per 1,000 children"
North Carolina,37000,Total,Substantiated,2019,"Rate per 1,000",8.1,"per 1,000 children"
North Carolina,37000,Total,Investigated,2020,"Rate per 1,000",44.9,"per 1,000 children"
North Carolina,37000,Total,Substantiated,2020,"Rate per 1,000",8,"per 1,000 children"
North Carolina,37000,Total,Investigated,2021,"Rate per 1,000",44.1,"per 1,000 children"
North Carolina,37000,Total,Substantiated,2021,"Rate per 1,000",7.8,"per 1,000 children"
North Carolina,37000,Total,Investigated,2022,"Rate per 1,000",46,"per 1,000 children"
North Carolina,37000,Total,Substantiated,2022,"Rate per 1,000",7.7,"per 1,000 children"
North Carolina,37000,Total,Investigated,2023,"Rate per 1,000",44.6,"per 1,000 children"
North Carolina,37000,Total,Substantiated,2023,"Rate per 1,000",7.4,"per 1,000 children"
North Carolina,37000,Total,Investigated,2018,Number,127843,
North Carolina,37000,Total,Substantiated,2018,Number,22017,
North Carolina,37000,Total,Investigated,2019,Number,123822,
North Carolina,37000,Total,Substantiated,2019,Number,21105,
North Carolina,37000,Total,Investigated,2020,Number,116610,
North Carolina,37000,Total,Substantiated,2020,Number,20703,
North Carolina,37000,Total,Investigated,2021,Number,113691,
North Carolina,37000,Total,Substantiated,2021,Number,20078,
North Carolina,37000,Total,Investigated,2022,Number,118485,
North Carolina,37000,Total,Substantiated,2022,Number,19724,
North Carolina,37000,Total,Investigated,2023,Number,115393,
North Carolina,37000,Total,Substantiated,2023,Number,19017,
Alamance,37001,Total,Investigated,2018,"Rate per 1,000",49.6,"per 1,000 children"
Alamance,37001,Total,Substantiated,2018,"Rate per 1,000",6.7,"per 1,000 children"
Alamance,37001,Total,Investigated,2019,"Rate per 1,000",49.5,"per 1,000 children"
Alamance,37001,Total,Substantiated,2019,"Rate per 1,000",5.9,"per 1,000 children"
Alamance,37001,Total,Investigated,2020,"Rate per 1,000",49,"per 1,000 children"
Alamance,37001,Total,Substantiated,2020,"Rate per 1,000",5.5,"per 1,000 children"
Alamance,37001,Total,Investigated,2021,"Rate per 1,000",44.9,"per 1,000 children"
Alamance,37001,Total,Substantiated,2021,"Rate per 1,000",6.2,"per 1,000 children"
Alamance,37001,Total,Investigated,2022,"Rate per 1,000",46.5,"per 1,000 children"
Alamance,37001,Total,Substantiated,2022,"Rate per 1,000",5.3,"per 1,000 children"
Alamance,37001,Total,Investigated,2023,"Rate per 1,000",39.8,"per 1,000 children"
Alamance,37001,Total,Substantiated,2023,"Rate per 1,000",5.2,"per 1,000 children"
Alamance,37001,Total,Investigated,2018,Number,2122,
Alamance,37001,Total,Substantiated,2018,Number,285,
Alamance,37001,Total,Investigated,2019,Number,2157,
Alamance,37001,Total,Substantiated,2019,Number,255,
Alamance,37001,Total,Investigated,2020,Number,2155,
Alamance,37001,Total,Substantiated,2020,Number,243,
Alamance,37001,Total,Investigated,2021,Number,1998,
Alamance,37001,Total,Substantiated,2021,Number,275,
Alamance,37001,Total,Investigated,2022,Number,2069,
Alamance,37001,Total,Substantiated,2022,Number,236,
Alamance,37001,Total,Investigated,2023,Number,1781,
Alamance,37001,Total,Substantiated,2023,Number,233,
Alexander,37003,Total,Investigated,2018,"Rate per 1,000",75.4,"per 1,000 children"
Alexander,37003,Total,Substantiated,2018,"Rate per 1,000",10.4,"per 1,000 children"
Alexander,37003,Total,Investigated,2019,"Rate per 1,000",63.4,"per 1,000 children"
Alexander,37003,Total,Substantiated,2019,"Rate per 1,000",9.6,"per 1,000 children"
Alexander,37003,Total,Investigated,2020,"Rate per 1,000",57.8,"per 1,000 children"
Alexander,37003,Total,Substantiated,2020,"Rate per 1,000",9.5,"per 1,000 children"
Alexander,37003,Total,Investigated,2021,"Rate per 1,000",65.6,"per 1,000 children"
Alexander,37003,Total,Substantiated,2021,"Rate per 1,000",9.3,"per 1,000 children"
Alexander,37003,Total,Investigated,2022,"Rate per 1,000",63.4,"per 1,000 children"
Alexander,37003,Total,Substantiated,2022,"Rate per 1,000",7.6,"per 1,000 children"
Alexander,37003,Total,Investigated,2023,"Rate per 1,000",77.8,"per 1,000 children"
Alexander,37003,Total,Substantiated,2023,"Rate per 1,000",6.1,"per 1,000 children"
Alexander,37003,Total,Investigated,2018,Number,625,
Alexander,37003,Total,Substantiated,2018,Number,86,
Alexander,37003,Total,Investigated,2019,Number,522,
Alexander,37003,Total,Substantiated,2019,Number,79,
Alexander,37003,Total,Investigated,2020,Number,472,
Alexander,37003,Total,Substantiated,2020,Number,78,
Alexander,37003,Total,Investigated,2021,Number,520,
Alexander,37003,Total,Substantiated,2021,Number,74,
Alexander,37003,Total,Investigated,2022,Number,500,
Alexander,37003,Total,Substantiated,2022,Number,60,
Alexander,37003,Total,Investigated,2023,Number,608,
Alexander,37003,Total,Substantiated,2023,Number,48,
Alleghany,37005,Total,Investigated,2018,"Rate per 1,000",83.3,"per 1,000 children"
Alleghany,37005,Total,Substantiated,2018,"Rate per 1,000",20.8,"per 1,000 children"
Alleghany,37005,Total,Investigated,2019,"Rate per 1,000",68.3,"per 1,000 children"
Alleghany,37005,Total,Substantiated,2019,"Rate per 1,000",16.5,"per 1,000 children"
Alleghany,37005,Total,Investigated,2020,"Rate per 1,000",68.2,"per 1,000 children"
Alleghany,37005,Total,Substantiated,2020,"Rate per 1,000",15.4,"per 1,000 children"
Alleghany,37005,Total,Investigated,2021,"Rate per 1,000",73.6,"per 1,000 children"
Alleghany,37005,Total,Substantiated,2021,"Rate per 1,000",14.5,"per 1,000 children"
Alleghany,37005,Total,Investigated,2022,"Rate per 1,000",55.2,"per 1,000 children"
Alleghany,37005,Total,Substantiated,2022,"Rate per 1,000",18.4,"per 1,000 children"
Alleghany,37005,Total,Investigated,2023,"Rate per 1,000",78.2,"per 1,000 children"
Alleghany,37005,Total,Substantiated,2023,"Rate per 1,000",16.4,"per 1,000 children"
Alleghany,37005,Total,Investigated,2018,Number,176,
Alleghany,37005,Total,Substantiated,2018,Number,44,
Alleghany,37005,Total,Investigated,2019,Number,145,
Alleghany,37005,Total,Substantiated,2019,Number,35,
Alleghany,37005,Total,Investigated,2020,Number,142,
Alleghany,37005,Total,Substantiated,2020,Number,32,
Alleghany,37005,Total,Investigated,2021,Number,147,
Alleghany,37005,Total,Substantiated,2021,Number,29,
Alleghany,37005,Total,Investigated,2022,Number,111,
Alleghany,37005,Total,Substantiated,2022,Number,37,
Alleghany,37005,Total,Investigated,2023,Number,157,
Alleghany,37005,Total,Substantiated,2023,Number,33,
Anson,37007,Total,Investigated,2018,"Rate per 1,000",69.8,"per 1,000 children"
Anson,37007,Total,Substantiated,2018,"Rate per 1,000",14.9,"per 1,000 children"
Anson,37007,Total,Investigated,2019,"Rate per 1,000",57.3,"per 1,000 children"
Anson,37007,Total,Substantiated,2019,"Rate per 1,000",10.3,"per 1,000 children"
Anson,37007,Total,Investigated,2020,"Rate per 1,000",46.6,"per 1,000 children"
Anson,37007,Total,Substantiated,2020,"Rate per 1,000",8.1,"per 1,000 children"
Anson,37007,Total,Investigated,2021,"Rate per 1,000",33.3,"per 1,000 children"
Anson,37007,Total,Substantiated,2021,"Rate per 1,000",6.6,"per 1,000 children"
Anson,37007,Total,Investigated,2022,"Rate per 1,000",57.1,"per 1,000 children"
Anson,37007,Total,Substantiated,2022,"Rate per 1,000",18,"per 1,000 children"
Anson,37007,Total,Investigated,2023,"Rate per 1,000",69.1,"per 1,000 children"
Anson,37007,Total,Substantiated,2023,"Rate per 1,000",12.4,"per 1,000 children"
Anson,37007,Total,Investigated,2018,Number,380,
Anson,37007,Total,Substantiated,2018,Number,81,
Anson,37007,Total,Investigated,2019,Number,310,
Anson,37007,Total,Substantiated,2019,Number,56,
Anson,37007,Total,Investigated,2020,Number,252,
Anson,37007,Total,Substantiated,2020,Number,44,
Anson,37007,Total,Investigated,2021,Number,161,
Anson,37007,Total,Substantiated,2021,Number,32,
Anson,37007,Total,Investigated,2022,Number,273,
Anson,37007,Total,Substantiated,2022,Number,86,
Anson,37007,Total,Investigated,2023,Number,330,
Anson,37007,Total,Substantiated,2023,Number,59,
Ashe,37009,Total,Investigated,2018,"Rate per 1,000",76.8,"per 1,000 children"
Ashe,37009,Total,Substantiated,2018,"Rate per 1,000",18.3,"per 1,000 children"
Ashe,37009,Total,Investigated,2019,"Rate per 1,000",69,"per 1,000 children"
Ashe,37009,Total,Substantiated,2019,"Rate per 1,000",15.4,"per 1,000 children"
Ashe,37009,Total,Investigated,2020,"Rate per 1,000",75.9,"per 1,000 children"
Ashe,37009,Total,Substantiated,2020,"Rate per 1,000",13.7,"per 1,000 children"
Ashe,37009,Total,Investigated,2021,"Rate per 1,000",72.5,"per 1,000 children"
Ashe,37009,Total,Substantiated,2021,"Rate per 1,000",18,"per 1,000 children"
Ashe,37009,Total,Investigated,2022,"Rate per 1,000",66.1,"per 1,000 children"
Ashe,37009,Total,Substantiated,2022,"Rate per 1,000",9.5,"per 1,000 children"
Ashe,37009,Total,Investigated,2023,"Rate per 1,000",68.2,"per 1,000 children"
Ashe,37009,Total,Substantiated,2023,"Rate per 1,000",16.3,"per 1,000 children"
Ashe,37009,Total,Investigated,2018,Number,404,
Ashe,37009,Total,Substantiated,2018,Number,96,
Ashe,37009,Total,Investigated,2019,Number,362,
Ashe,37009,Total,Substantiated,2019,Number,81,
Ashe,37009,Total,Investigated,2020,Number,392,
Ashe,37009,Total,Substantiated,2020,Number,71,
Ashe,37009,Total,Investigated,2021,Number,363,
Ashe,37009,Total,Substantiated,2021,Number,90,
Ashe,37009,Total,Investigated,2022,Number,327,
Ashe,37009,Total,Substantiated,2022,Number,47,
Ashe,37009,Total,Investigated,2023,Number,338,
Ashe,37009,Total,Substantiated,2023,Number,81,
Avery,37011,Total,Investigated,2018,"Rate per 1,000",59.4,"per 1,000 children"
Avery,37011,Total,Substantiated,2018,"Rate per 1,000",10.6,"per 1,000 children"
Avery,37011,Total,Investigated,2019,"Rate per 1,000",43.6,"per 1,000 children"
Avery,37011,Total,Substantiated,2019,"Rate per 1,000",12,"per 1,000 children"
Avery,37011,Total,Investigated,2020,"Rate per 1,000",64.1,"per 1,000 children"
Avery,37011,Total,Substantiated,2020,"Rate per 1,000",16.5,"per 1,000 children"
Avery,37011,Total,Investigated,2021,"Rate per 1,000",45.2,"per 1,000 children"
Avery,37011,Total,Substantiated,2021,"Rate per 1,000",11.4,"per 1,000 children"
Avery,37011,Total,Investigated,2022,"Rate per 1,000",46,"per 1,000 children"
Avery,37011,Total,Substantiated,2022,"Rate per 1,000",7.6,"per 1,000 children"
Avery,37011,Total,Investigated,2023,"Rate per 1,000",48.9,"per 1,000 children"
Avery,37011,Total,Substantiated,2023,"Rate per 1,000",13,"per 1,000 children"
Avery,37011,Total,Investigated,2018,Number,185,
Avery,37011,Total,Substantiated,2018,Number,33,
Avery,37011,Total,Investigated,2019,Number,135,
Avery,37011,Total,Substantiated,2019,Number,37,
Avery,37011,Total,Investigated,2020,Number,194,
Avery,37011,Total,Substantiated,2020,Number,50,
Avery,37011,Total,Investigated,2021,Number,139,
Avery,37011,Total,Substantiated,2021,Number,35,
Avery,37011,Total,Investigated,2022,Number,139,
Avery,37011,Total,Substantiated,2022,Number,23,
Avery,37011,Total,Investigated,2023,Number,147,
Avery,37011,Total,Substantiated,2023,Number,39,
Beaufort,37013,Total,Investigated,2018,"Rate per 1,000",62.1,"per 1,000 children"
Beaufort,37013,Total,Substantiated,2018,"Rate per 1,000",18.2,"per 1,000 children"
Beaufort,37013,Total,Investigated,2019,"Rate per 1,000",64.4,"per 1,000 children"
Beaufort,37013,Total,Substantiated,2019,"Rate per 1,000",14.5,"per 1,000 children"
Beaufort,37013,Total,Investigated,2020,"Rate per 1,000",63.4,"per 1,000 children"
Beaufort,37013,Total,Substantiated,2020,"Rate per 1,000",21.1,"per 1,000 children"
Beaufort,37013,Total,Investigated,2021,"Rate per 1,000",65.9,"per 1,000 children"
Beaufort,37013,Total,Substantiated,2021,"Rate per 1,000",18.1,"per 1,000 children"
Beaufort,37013,Total,Investigated,2022,"Rate per 1,000",68.2,"per 1,000 children"
Beaufort,37013,Total,Substantiated,2022,"Rate per 1,000",19.2,"per 1,000 children"
Beaufort,37013,Total,Investigated,2023,"Rate per 1,000",69.9,"per 1,000 children"
