sex,age_from,age_to,count,year
Male,0,4,308104,2021
Male,5,9,332857,2021
Male,10,14,341630,2021
Male,15,17,223648,2021
Male,18,19,154948,2021
Male,20,20,76415,2021
Male,21,21,73000,2021
Male,22,24,226499,2021
Male,25,29,350478,2021
Male,30,34,367590,2021
Male,35,39,345834,2021
Male,40,44,339442,2021
Male,45,49,316123,2021
Male,50,54,345824,2021
Male,55,59,326532,2021
Male,60,61,139256,2021
Male,62,64,194939,2021
Male,65,66,124856,2021
Male,67,69,169922,2021
Male,70,74,230252,2021
Male,75,79,168194,2021
Male,80,84,93593,2021
Male,85,Inf,62118,2021
Female,0,4,286635,2021
Female,5,9,308379,2021
Female,10,14,316967,2021
Female,15,17,204279,2021
Female,18,19,146576,2021
Female,20,20,77388,2021
Female,21,21,65635,2021
Female,22,24,204979,2021
Female,25,29,350080,2021
Female,30,34,375623,2021
Female,35,39,356883,2021
Female,40,44,362747,2021
Female,45,49,336761,2021
Female,50,54,354511,2021
Female,55,59,348702,2021
Female,60,61,146669,2021
Female,62,64,214202,2021
Female,65,66,140894,2021
Female,67,69,189222,2021
Female,70,74,286574,2021
Female,75,79,206808,2021
Female,80,84,127065,2021
Female,85,Inf,115858,2021
Male,0,4,308104,2022
Male,5,9,332857,2022
Male,10,14,341630,2022
Male,15,17,223648,2022
Male,18,19,154948,2022
Male,20,20,76415,2022
Male,21,21,73000,2022
Male,22,24,226499,2022
Male,25,29,350478,2022
Male,30,34,367590,2022
Male,35,39,345834,2022
Male,40,44,339442,2022
Male,45,49,316123,2022
Male,50,54,345824,2022
Male,55,59,326532,2022
Male,60,61,139256,2022
Male,62,64,194939,2022
Male,65,66,124856,2022
Male,67,69,169922,2022
Male,70,74,230252,2022
Male,75,79,168194,2022
Male,80,84,93593,2022
Male,85,Inf,62118,2022
Female,0,4,286635,2022
Female,5,9,308379,2022
Female,10,14,316967,2022
Female,15,17,204279,2022
Female,18,19,146576,2022
Female,20,20,77388,2022
Female,21,21,65635,2022
Female,22,24,204979,2022
Female,25,29,350080,2022
Female,30,34,375623,2022
Female,35,39,356883,2022
Female,40,44,362747,2022
Female,45,49,336761,2022
Female,50,54,354511,2022
Female,55,59,348702,2022
Female,60,61,146669,2022
Female,62,64,214202,2022
Female,65,66,140894,2022
Female,67,69,189222,2022
Female,70,74,286574,2022
Female,75,79,206808,2022
Female,80,84,127065,2022
Female,85,Inf,115858,2022
Male,0,4,308104,2023
Male,5,9,332857,2023
Male,10,14,341630,2023
Male,15,17,223648,2023
Male,18,19,154948,2023
Male,20,20,76415,2023
Male,21,21,73000,2023
Male,22,24,226499,2023
Male,25,29,350478,2023
Male,30,34,367590,2023
Male,35,39,345834,2023
Male,40,44,339442,2023
Male,45,49,316123,2023
Male,50,54,345824,2023
Male,55,59,326532,2023
Male,60,61,139256,2023
Male,62,64,194939,2023
Male,65,66,124856,2023
Male,67,69,169922,2023
Male,70,74,230252,2023
Male,75,79,168194,2023
Male,80,84,93593,2023
Male,85,Inf,62118,2023
Female,0,4,286635,2023
Female,5,9,308379,2023
Female,10,14,316967,2023
Female,15,17,204279,2023
Female,18,19,146576,2023
Female,20,20,77388,2023
Female,21,21,65635,2023
Female,22,24,204979,2023
Female,25,29,350080,2023
Female,30,34,375623,2023
Female,35,39,356883,2023
Female,40,44,362747,2023
Female,45,49,336761,2023
Female,50,54,354511,2023
Female,55,59,348702,2023
Female,60,61,146669,2023
Female,62,64,214202,2023
Female,65,66,140894,2023
Female,67,69,189222,2023
Female,70,74,286574,2023
Female,75,79,206808,2023
Female,80,84,127065,2023
Female,85,Inf,115858,2023
Male,0,4,308104,2024
Male,5,9,332857,2024
Male,10,14,341630,2024
Male,15,17,223648,2024
Male,18,19,154948,2024
Male,20,20,76415,2024
Male,21,21,73000,2024
Male,22,24,226499,2024
Male,25,29,350478,2024
Male,30,34,367590,2024
Male,35,39,345834,2024
Male,40,44,339442,2024
Male,45,49,316123,2024
Male,50,54,345824,2024
Male,55,59,326532,2024
Male,60,61,139256,2024
Male,62,64,194939,2024
Male,65,66,124856,2024
Male,67,69,169922,2024
Male,70,74,230252,2024
Male,75,79,168194,2024
Male,80,84,93593,2024
Male,85,Inf,62118,2024
Female,0,4,286635,2024
Female,5,9,308379,2024
Female,10,14,316967,2024
Female,15,17,204279,2024
Female,18,19,146576,2024
Female,20,20,77388,2024
Female,21,21,65635,2024
Female,22,24,204979,2024
Female,25,29,350080,2024
Female,30,34,375623,2024
Female,35,39,356883,2024
Female,40,44,362747,2024
Female,45,49,336761,2024
Female,50,54,354511,2024
Female,55,59,348702,2024
Female,60,61,146669,2024
Female,62,64,214202,2024
Female,65,66,140894,2024
Female,67,69,189222,2024
Female,70,74,286574,2024
Female,75,79,206808,2024
Female,80,84,127065,2024
Female,85,Inf,115858,2024
