Location,LocationID,FilterCategory,DataGroups,TimeFrame,DataFormat,Data,Unit
North Carolina,37000,Total,Total,2011,Number,13179,
North Carolina,37000,Total,Total,2012,Number,12773,
North Carolina,37000,Total,Total,2013,Number,12724,
North Carolina,37000,Total,Total,2014,Number,13748,
North Carolina,37000,Total,Total,2015,Number,14429,
North Carolina,37000,Total,Total,2016,Number,14929,
North Carolina,37000,Total,Total,2017,Number,15552,
North Carolina,37000,Total,Total,2018,Number,15455,
North Carolina,37000,Total,Total,2019,Number,15521,
North Carolina,37000,Total,Total,2020,Number,15270,
North Carolina,37000,Total,Total,2021,Number,15032,
North Carolina,37000,Total,Total,2022,Number,14543,
North Carolina,37000,Total,Total,2023,Number,14501,
North Carolina,37000,Total,Total,2024,Number,14262,
Alamance,37001,Total,Total,2011,Number,161,
Alamance,37001,Total,Total,2012,Number,132,
Alamance,37001,Total,Total,2013,Number,127,
Alamance,37001,Total,Total,2014,Number,145,
Alamance,37001,Total,Total,2015,Number,158,
Alamance,37001,Total,Total,2016,Number,171,
Alamance,37001,Total,Total,2017,Number,140,
Alamance,37001,Total,Total,2018,Number,143,
Alamance,37001,Total,Total,2019,Number,137,
Alamance,37001,Total,Total,2020,Number,134,
Alamance,37001,Total,Total,2021,Number,126,
Alamance,37001,Total,Total,2022,Number,144,
Alamance,37001,Total,Total,2023,Number,154,
Alamance,37001,Total,Total,2024,Number,158,
Alexander,37003,Total,Total,2011,Number,56,
Alexander,37003,Total,Total,2012,Number,62,
Alexander,37003,Total,Total,2013,Number,73,
Alexander,37003,Total,Total,2014,Number,92,
Alexander,37003,Total,Total,2015,Number,91,
Alexander,37003,Total,Total,2016,Number,93,
Alexander,37003,Total,Total,2017,Number,102,
Alexander,37003,Total,Total,2018,Number,76,
Alexander,37003,Total,Total,2019,Number,64,
Alexander,37003,Total,Total,2020,Number,64,
Alexander,37003,Total,Total,2021,Number,77,
Alexander,37003,Total,Total,2022,Number,72,
Alexander,37003,Total,Total,2023,Number,82,
