Location,LocationID,FilterCategory,DataGroups,TimeFrame,DataFormat,Data,Unit
North Carolina,37000,Total,Total,2011,Percent,26.6,%
North Carolina,37000,Total,Total,2012,Percent,30.7,%
North Carolina,37000,Total,Total,2013,Percent,31.8,%
North Carolina,37000,Total,Total,2014,Percent,33.5,%
North Carolina,37000,Total,Total,2015,Percent,32.1,%
North Carolina,37000,Total,Total,2016,Percent,34.1,%
North Carolina,37000,Total,Total,2017,Percent,36.2,%
North Carolina,37000,Total,Total,2018,Percent,35.5,%
North Carolina,37000,Total,Total,2019,Percent,39.2,%
North Carolina,37000,Total,Total,2020,Percent,36.5,%
North Carolina,37000,Total,Total,2021,Percent,39.2,%
North Carolina,37000,Total,Total,2022,Percent,37.8,%
North Carolina,37000,Total,Total,2023,Percent,39.8,%
Alamance,37001,Total,Total,2011,Percent,14.1,%
Alamance,37001,Total,Total,2012,Percent,11.1,%
Alamance,37001,Total,Total,2013,Percent,34.9,%
Alamance,37001,Total,Total,2014,Percent,15.6,%
Alamance,37001,Total,Total,2015,Percent,13,%
Alamance,37001,Total,Total,2016,Percent,23.9,%
Alamance,37001,Total,Total,2017,Percent,7.8,%
Alamance,37001,Total,Total,2018,Percent,4.8,%
Alamance,37001,Total,Total,2019,Percent,20.7,%
Alamance,37001,Total,Total,2020,Percent,19.4,%
Alamance,37001,Total,Total,2021,Percent,27.3,%
Alamance,37001,Total,Total,2022,Percent,50,%
Alamance,37001,Total,Total,2023,Percent,47.7,%
Alexander,37003,Total,Total,2011,Percent,19,%
Alexander,37003,Total,Total,2012,Percent,60.9,%
Alexander,37003,Total,Total,2013,Percent,33.3,%
Alexander,37003,Total,Total,2014,Percent,13.9,%
Alexander,37003,Total,Total,2015,Percent,35.7,%
Alexander,37003,Total,Total,2016,Percent,21.1,%
Alexander,37003,Total,Total,2017,Percent,20,%
Alexander,37003,Total,Total,2018,Percent,53.8,%
Alexander,37003,Total,Total,2019,Percent,48,%
Alexander,37003,Total,Total,2020,Percent,50,%
Alexander,37003,Total,Total,2021,Percent,36.7,%
Alexander,37003,Total,Total,2022,Percent,38.5,%
Alexander,37003,Total,Total,2023,Percent,50.4,%
Alleghany,37005,Total,Total,2011,Percent,23.1,%
Alleghany,37005,Total,Total,2012,Percent,16.7,%
Alleghany,37005,Total,Total,2013,Percent,20,%
Alleghany,37005,Total,Total,2014,Percent,11.1,%
Alleghany,37005,Total,Total,2015,Percent,,
Alleghany,37005,Total,Total,2016,Percent,33.3,%
Alleghany,37005,Total,Total,2017,Percent,55,%
Alleghany,37005,Total,Total,2018,Percent,47.1,%
Alleghany,37005,Total,Total,2019,Percent,42.9,%
Alleghany,37005,Total,Total,2020,Percent,54.5,%
Alleghany,37005,Total,Total,2021,Percent,52.6,%
