LocationType,Location,TimeFrame,DataFormat,Data
State,North Carolina,1995,Number,101630
State,North Carolina,1996,Number,104428
State,North Carolina,1997,Number,106949
State,North Carolina,1998,Number,111631
State,North Carolina,1999,Number,113755
State,North Carolina,2000,Number,120247
State,North Carolina,2001,Number,118112
State,North Carolina,2002,Number,117307
State,North Carolina,2003,Number,118292
State,North Carolina,2004,Number,119773
State,North Carolina,2005,Number,123040
State,North Carolina,2006,Number,127646
State,North Carolina,2007,Number,130886
State,North Carolina,2008,Number,130758
State,North Carolina,2013,Number,118983
State,North Carolina,2018,Number,118957
State,North Carolina,2009,Number,126785
State,North Carolina,2010,Number,122302
State,North Carolina,2015,Number,120826
State,North Carolina,2011,Number,120403
State,North Carolina,2012,Number,119767
State,North Carolina,2014,Number,120948
State,North Carolina,2016,Number,120765
State,North Carolina,2017,Number,120099
State,North Carolina,2020,Number,116755
State,North Carolina,2021,Number,120501
State,North Carolina,2022,Number,121557
State,North Carolina,2023,Number,120065
State,North Carolina,2024,Number,121013
State,North Carolina,2019,Number,118725
County,Alamance,2017,Number,1939
County,Alamance,2014,Number,1766
County,Alamance,2016,Number,1856
County,Alamance,2012,Number,1757
County,Alamance,2015,Number,1783
County,Alamance,2011,Number,1674
County,Alamance,2010,Number,1856
County,Alamance,2009,Number,1884
County,Alamance,2018,Number,1958
County,Alamance,2013,Number,1784
County,Alamance,2008,Number,2015
County,Alamance,2007,Number,2017
County,Alamance,2006,Number,1918
County,Alamance,2005,Number,1820
County,Alamance,2004,Number,1769
County,Alamance,2003,Number,1838
County,Alamance,2002,Number,1814
County,Alamance,2001,Number,1899
County,Alamance,2000,Number,1902
County,Alamance,1999,Number,1771
County,Alamance,1998,Number,1656
County,Alamance,1997,Number,1725
County,Alamance,1996,Number,1578
County,Alamance,1995,Number,1429
County,Alamance,2020,Number,1831
County,Alamance,2021,Number,1930
County,Alamance,2022,Number,1960
County,Alamance,2023,Number,1888
County,Alamance,2024,Number,2039
County,Alamance,2019,Number,1863
County,Alexander,1995,Number,364
County,Alexander,1996,Number,391
County,Alexander,1997,Number,432
County,Alexander,1998,Number,423
County,Alexander,1999,Number,448
County,Alexander,2000,Number,468
County,Alexander,2001,Number,414
County,Alexander,2002,Number,401
County,Alexander,2003,Number,413
County,Alexander,2004,Number,393
County,Alexander,2005,Number,426
County,Alexander,2006,Number,420
County,Alexander,2007,Number,444
County,Alexander,2008,Number,401
County,Alexander,2013,Number,358
County,Alexander,2018,Number,344
County,Alexander,2009,Number,403
County,Alexander,2010,Number,383
County,Alexander,2011,Number,318
County,Alexander,2015,Number,343
County,Alexander,2012,Number,386
County,Alexander,2016,Number,343
County,Alexander,2014,Number,351
County,Alexander,2017,Number,377
County,Alexander,2020,Number,346
County,Alexander,2021,Number,371
County,Alexander,2022,Number,335
County,Alexander,2023,Number,349
County,Alexander,2024,Number,363
County,Alexander,2019,Number,357
County,Alleghany,2017,Number,102
