Location,LocationID,FilterCategory,DataGroups,TimeFrame,DataFormat,Data,Unit
North Carolina,37000,Total,Total,2017,Percent,31.6,%
North Carolina,37000,Total,Total,2018,Percent,28,%
North Carolina,37000,Total,Total,2019,Percent,27.4,%
North Carolina,37000,Total,Total,2020,Percent,26.6,%
North Carolina,37000,Total,Total,2021,Percent,27.2,%
North Carolina,37000,Total,Total,2022,Percent,25.8,%
North Carolina,37000,Total,Total,2023,Percent,28.5,%
Alamance,37001,Total,Total,2017,Percent,51.3,%
Alamance,37001,Total,Total,2018,Percent,48.2,%
Alamance,37001,Total,Total,2019,Percent,57.1,%
Alamance,37001,Total,Total,2020,Percent,30.2,%
Alamance,37001,Total,Total,2021,Percent,30.4,%
Alamance,37001,Total,Total,2022,Percent,17.2,%
Alamance,37001,Total,Total,2023,Percent,27.4,%
Alexander,37003,Total,Total,2017,Percent,32.5,%
Alexander,37003,Total,Total,2018,Percent,29.7,%
Alexander,37003,Total,Total,2019,Percent,0,%
Alexander,37003,Total,Total,2020,Percent,24,%
Alexander,37003,Total,Total,2021,Percent,25,%
Alexander,37003,Total,Total,2022,Percent,15,%
Alexander,37003,Total,Total,2023,Percent,33.3,%
Alleghany,37005,Total,Total,2017,Percent,9.1,%
Alleghany,37005,Total,Total,2018,Percent,13,%
Alleghany,37005,Total,Total,2019,Percent,16.7,%
Alleghany,37005,Total,Total,2020,Percent,27.8,%
Alleghany,37005,Total,Total,2021,Percent,31.2,%
Alleghany,37005,Total,Total,2022,Percent,18.2,%
Alleghany,37005,Total,Total,2023,Percent,25,%
Anson,37007,Total,Total,2017,Percent,90.9,%
Anson,37007,Total,Total,2018,Percent,86.7,%
Anson,37007,Total,Total,2019,Percent,35,%
Anson,37007,Total,Total,2020,Percent,83.3,%
Anson,37007,Total,Total,2021,Percent,30,%
Anson,37007,Total,Total,2022,Percent,100,%
Anson,37007,Total,Total,2023,Percent,42.9,%
Ashe,37009,Total,Total,2017,Percent,10.3,%
Ashe,37009,Total,Total,2018,Percent,34.8,%
Ashe,37009,Total,Total,2019,Percent,26.7,%
Ashe,37009,Total,Total,2020,Percent,41.4,%
Ashe,37009,Total,Total,2021,Percent,13.5,%
Ashe,37009,Total,Total,2022,Percent,18.6,%
Ashe,37009,Total,Total,2023,Percent,20,%
Avery,37011,Total,Total,2017,Percent,20,%
Avery,37011,Total,Total,2018,Percent,29.4,%
Avery,37011,Total,Total,2019,Percent,30.8,%
Avery,37011,Total,Total,2020,Percent,50,%
Avery,37011,Total,Total,2021,Percent,34.8,%
Avery,37011,Total,Total,2022,Percent,54.5,%
Avery,37011,Total,Total,2023,Percent,25,%
Beaufort,37013,Total,Total,2017,Percent,31.9,%
Beaufort,37013,Total,Total,2018,Percent,40.3,%
Beaufort,37013,Total,Total,2019,Percent,10,%
Beaufort,37013,Total,Total,2020,Percent,35.7,%
Beaufort,37013,Total,Total,2021,Percent,51.8,%
Beaufort,37013,Total,Total,2022,Percent,54.7,%
Beaufort,37013,Total,Total,2023,Percent,36,%
Bertie,37015,Total,Total,2017,Percent,,
Bertie,37015,Total,Total,2018,Percent,20,%
Bertie,37015,Total,Total,2019,Percent,40,%
Bertie,37015,Total,Total,2020,Percent,60,%
Bertie,37015,Total,Total,2021,Percent,0,%
Bertie,37015,Total,Total,2022,Percent,0,%
Bertie,37015,Total,Total,2023,Percent,27.3,%
Bladen,37017,Total,Total,2017,Percent,31.7,%
Bladen,37017,Total,Total,2018,Percent,25,%
Bladen,37017,Total,Total,2019,Percent,50,%
Bladen,37017,Total,Total,2020,Percent,25,%
Bladen,37017,Total,Total,2021,Percent,29.2,%
Bladen,37017,Total,Total,2022,Percent,37.1,%
Bladen,37017,Total,Total,2023,Percent,58.8,%
Brunswick,37019,Total,Total,2017,Percent,27.1,%
Brunswick,37019,Total,Total,2018,Percent,32.1,%
Brunswick,37019,Total,Total,2019,Percent,31.9,%
Brunswick,37019,Total,Total,2020,Percent,33.3,%
Brunswick,37019,Total,Total,2021,Percent,32.1,%
Brunswick,37019,Total,Total,2022,Percent,26.2,%
Brunswick,37019,Total,Total,2023,Percent,28.8,%
Buncombe,37021,Total,Total,2017,Percent,18.5,%
