Location,LocationID,FilterCategory,DataGroups,TimeFrame,DataFormat,Data,Unit
North Carolina,37000,Total,One,2010,Percent,33.3,%
North Carolina,37000,Total,Two,2010,Percent,22.6,%
North Carolina,37000,Total,Three,2010,Percent,14.1,%
North Carolina,37000,Total,Four or More,2010,Percent,27.5,%
North Carolina,37000,Total,One,2011,Percent,33.3,%
North Carolina,37000,Total,Two,2011,Percent,22.6,%
North Carolina,37000,Total,Three,2011,Percent,12.5,%
North Carolina,37000,Total,Four or More,2011,Percent,29.4,%
North Carolina,37000,Total,One,2012,Percent,32.2,%
North Carolina,37000,Total,Two,2012,Percent,21.3,%
North Carolina,37000,Total,Three,2012,Percent,12.6,%
North Carolina,37000,Total,Four or More,2012,Percent,31.1,%
North Carolina,37000,Total,One,2013,Percent,30.6,%
North Carolina,37000,Total,Two,2013,Percent,20.9,%
North Carolina,37000,Total,Three,2013,Percent,13.5,%
North Carolina,37000,Total,Four or More,2013,Percent,32.1,%
North Carolina,37000,Total,One,2014,Percent,30.6,%
North Carolina,37000,Total,Two,2014,Percent,23.9,%
North Carolina,37000,Total,Three,2014,Percent,12.7,%
North Carolina,37000,Total,Four or More,2014,Percent,30.5,%
North Carolina,37000,Total,One,2015,Percent,33.4,%
North Carolina,37000,Total,Two,2015,Percent,20.3,%
North Carolina,37000,Total,Three,2015,Percent,12.1,%
North Carolina,37000,Total,Four or More,2015,Percent,31.8,%
North Carolina,37000,Total,One,2016,Percent,30.5,%
North Carolina,37000,Total,Two,2016,Percent,21.2,%
North Carolina,37000,Total,Three,2016,Percent,13.3,%
North Carolina,37000,Total,Four or More,2016,Percent,32.5,%
North Carolina,37000,Total,One,2017,Percent,30.1,%
North Carolina,37000,Total,Two,2017,Percent,20.6,%
North Carolina,37000,Total,Three,2017,Percent,12.9,%
North Carolina,37000,Total,Four or More,2017,Percent,33.7,%
North Carolina,37000,Total,One,2018,Percent,30.4,%
North Carolina,37000,Total,Two,2018,Percent,20.7,%
North Carolina,37000,Total,Three,2018,Percent,12.4,%
North Carolina,37000,Total,Four or More,2018,Percent,33.9,%
North Carolina,37000,Total,One,2019,Percent,31,%
North Carolina,37000,Total,Two,2019,Percent,20.4,%
North Carolina,37000,Total,Three,2019,Percent,13.9,%
North Carolina,37000,Total,Four or More,2019,Percent,32.5,%
North Carolina,37000,Total,One,2020,Percent,31.5,%
North Carolina,37000,Total,Two,2020,Percent,19.8,%
North Carolina,37000,Total,Three,2020,Percent,13.1,%
North Carolina,37000,Total,Four or More,2020,Percent,33.5,%
North Carolina,37000,Total,One,2021,Percent,30.9,%
North Carolina,37000,Total,Two,2021,Percent,20.6,%
North Carolina,37000,Total,Three,2021,Percent,13.3,%
North Carolina,37000,Total,Four or More,2021,Percent,33.4,%
North Carolina,37000,Total,One,2022,Percent,27.9,%
